And we're going to tell you some stories from the sea here in video.	Wir werden Ihnen einige Geschichten über das Meer in Videoform erzählen .
We use the submarine Alvin and we use cameras, and the cameras are something that Bill Lange has developed with the help of Sony.	Wir benutzen das Unterseeboot Alvin und Kameras , und diese Kameras hat Bill Lange mit Hilfe von Sony entwickelt .
Marcel Proust said, "The true voyage of discovery is not so much in seeking new landscapes as in having new eyes."	Marcel Proust hat einmal gesagt: "Die wahre Entdeckungsreise besteht nicht darin , dass man neue Länder sucht , sondern dass man neue Augen hat ."
People that have partnered with us have given us new eyes, not only on what exists -- the new landscapes at the bottom of the sea -- but also how we think about life on the planet itself.	Die Menschen , die mit uns zusammengearbeitet haben , gaben uns neue Augen , nicht nur , um das zu sehen , was existiert – die neuen Länder auf dem Meeresboden – sondern auch , um über das Leben auf diesem Planeten nachzudenken .
Here's a jelly.	Das ist ein Weichtier .
It's one of my favorites, because it's got all sorts of working parts.	Es ist einer meiner Lieblinge , weil es alle möglichen Funktionsteile hat .
This turns out to be the longest creature in the oceans.	Es hat sich als das längste Wesen im Meer erwiesen .
It gets up to about 150 feet long.	Es wird bis zu 50 Meter lang .
But see all those different working things?	Sehen Sie all die unterschiedlichen Teile ?
I love that kind of stuff.	So was mag ich .
It's got tentacles dangling, swirling around like that.	Es hat Tentakel , die so herumschwirren .
It's a colonial animal.	Es ist eine Kolonie von Tieren .
These are all individual animals banding together to make this one creature.	Das sind alles einzelne Lebewesen , die sich zu diesem einen Organismus zusammenschließen .
And it's got these jet thrusters up in front that it'll use in a moment, and a little light.	Es hat vorne diese Antriebsdüsen , die es gleich benutzt , und ein kleines Licht .
If you take all the big fish and schooling fish and all that, put them on one side of the scale, put all the jelly-type of animals on the other side, those guys win hands down.	Wenn man alle großen Fische und Fischschulen und all das nimmt und auf die eine Seite der Waage legt und alle Weichtiere auf die andere Seite , gewinnen die hier haushoch .
Most of the biomass in the ocean is made out of creatures like this.	Der Großteil der Biomasse im Meer besteht aus Geschöpfen wie diesem .
Here's the X-wing death jelly.	Hier ist das X-Wing-Todes-Weichtier .
The bioluminescence -- they use the lights for attracting mates and attracting prey and communicating.	Sie benutzen die Biolumineszenz , um Geschlechtspartner anzulocken , Beute zu ködern und zur Verständigung .
We couldn't begin to show you our archival stuff from the jellies.	Wir hätten niemals die Zeit , Ihnen all unser Archivmaterial von den Weichtieren zu zeigen .
They come in all different sizes and shapes.	Es gibt sie in den unterschiedlichsten Größen und Formen .
We tend to forget about the fact that the ocean is miles deep on average, and that we're real familiar with the animals that are in the first 200 or 300 feet, but we're not familiar with what exists from there all the way down to the bottom.	Wir vergessen leicht , dass das Meer durchschnittlich mehrere Kilometer tief ist und dass wir nur die Tiere wirklich kennen , die in den oberen hundert Metern leben , aber was zwischen dort und dem Meeresboden lebt , ist uns nicht vertraut .
And these are the types of animals that live in that three-dimensional space, that micro-gravity environment that we really haven't explored.	Diese Tierarten leben in einem dreidimensionalen Raum , einem Mikrogravitationsraum , den wir überhaupt noch nicht erforscht haben .
You hear about giant squid and things like that, but some of these animals get up to be approximately 140, 160 feet long.	Man hört von Riesenkalmaren und so etwas , aber einige dieser Tiere werden bis zu etwa 50 Meter lang .
They're very little understood.	Man weiß sehr wenig über sie .
This is one of them, another one of our favorites, because it's a little octopod.	Das ist eines von ihnen , noch einer unserer Lieblinge , denn es ist ein kleiner Oktopus .
You can actually see through his head.	Man kann ihm tatsächlich durch den Kopf gucken .
And here he is, flapping with his ears and very gracefully going up.	Und hier wackelt er mit den Ohren und steigt sehr anmutig nach oben .
We see those at all depths and even at the greatest depths.	Wir finden sie in allen Tiefen und sogar in die tiefsten Tiefen .
They go from a couple of inches to a couple of feet.	Sie sind von wenigen Zentimetern bis hin zu ein paar Metern lang .
They come right up to the submarine -- they'll put their eyes right up to the window and peek inside the sub.	Sie kommen bis ans U-Boot heran – sie kommen mit den Augen ans Fenster und gucken ins U-Boot .
This is really a world within a world, and we're going to show you two.	Es ist eine eigene Welt in der Welt , und wir werden Ihnen zwei zeigen .
In this case, we're passing down through the mid-ocean and we see creatures like this.	In diesem Fall bewegen wir uns durch die Ozeanmitte nach unten und sehen solche Kreaturen .
This is kind of like an undersea rooster.	Das hier ist eine Art Unterwasser-Hahn .
This guy, that looks incredibly formal, in a way.	Der hier , der irgendwie unglaublich förmlich aussieht .
This is basically scientific data that you're looking at.	Was sie hier sehen , sind im Grunde wissenschaftliche Daten .
It's footage that we've collected for scientific purposes.	Es sind Aufnahmen , die wir zu Forschungszwecken gemacht haben .
And that's one of the things that Bill's been doing, is providing scientists with this first view of animals like this, in the world where they belong.	Das ist auch etwas , das Bill macht , Wissenschaftler mit den ersten Bildern von diesen Tieren zu versorgen , in ihrer natürlichen Umgebung .
They don't catch them in a net.	Sie fangen sie nicht mit einem Netz .
They're actually looking at them down in that world.	Sie sehen sie sich da unten in dieser Welt an .
We're going to take a joystick, sit in front of our computer, on the Earth, and press the joystick forward, and fly around the planet.	Wir nehmen einen Joystick , sitzen vor unserem Computer an Land , drücken den Joystick nach vorn und fliegen um den Planeten .
We're going to look at the mid-ocean ridge, a 40,000-mile long mountain range.	Wir werden uns den mittelozeanischen Rücken ansehen , ein 64 .000 Kilometer langer Gebirgszug .
The average depth at the top of it is about a mile and a half.	Die durchschnittliche Tiefe der Gipfel ist etwa 2 ,5 Kilometer .
And we're over the Atlantic -- that's the ridge right there -- but we're going to go across the Caribbean, Central America, and end up against the Pacific, nine degrees north.	Jetzt sind wir über dem Atlantik – das da ist der Rücken – , werden die Karibik , in Mittelamerika überqueren und im Pazifik ankommen , neun Grad nördlicher Breite .
We make maps of these mountain ranges with sound, with sonar, and this is one of those mountain ranges.	Wir erstellen Karten dieser Gebirgszüge mit Hilfe von Schall , Sonar , und das ist einer dieser Gebirgszüge .
We're coming around a cliff here on the right.	Wir biegen um eine Klippe hier rechts .
The height of these mountains on either side of this valley is greater than the Alps in most cases.	Die Höhe dieser Berge auf beiden Seiten des Tals ist größer als die der Alpen in den meisten Fällen .
And there's tens of thousands of those mountains out there that haven't been mapped yet.	Und es gibt zehntausende von Bergen hier draußen , die auf keiner Karte verzeichnet sind .
This is a volcanic ridge.	Das ist ein vulkanischer Rücken .
We're getting down further and further in scale.	Wir tauchen immer tiefer und tiefer .
And eventually, we can come up with something like this.	Und schließlich kommen wir auf so etwas wie das hier .
This is an icon of our robot, Jason, it's called.	Das ist ein Bild unseres Roboters – er heißt Jason .
And you can sit in a room like this, with a joystick and a headset, and drive a robot like that around the bottom of the ocean in real time.	Man kann in einem Raum wie diesem sitzen , mit einem Joystick und einem Headset und so einen Roboter ohne Zeitverzögerung auf dem Meeresboden herumfahren lassen .
One of the things we're trying to do at Woods Hole with our partners is to bring this virtual world -- this world, this unexplored region -- back to the laboratory.	Unter anderem versuchen wir mit unseren Partnern bei Woods Hole , diese virtuelle Welt – diese Welt , dieses unerforschte Gebiet – ins Labor zu holen .
Because we see it in bits and pieces right now.	Denn wir sehen sie bisher nur stückweise .
We see it either as sound, or we see it as video, or we see it as photographs, or we see it as chemical sensors, but we never have yet put it all together into one interesting picture.	Wir nehmen sie entweder als Geräusch war oder als Video oder auf Fotos oder mit Hilfe von chemischen Sensoren – doch wir haben die Teile bisher nicht zu einem interessanten Bild zusammengesetzt .
Here's where Bill's cameras really do shine.	Hier brillieren Bills Kameras richtig .
This is what's called a hydrothermal vent.	Das hier nennt man eine hydrothermale Quelle .
And what you're seeing here is a cloud of densely packed, hydrogen-sulfide-rich water coming out of a volcanic axis on the sea floor.	Und hier sieht man eine Wolke von dichtem hydrogensulfidreichem Wasser , das aus einer vulkanischen Längsachse am Meeresboden tritt .
Gets up to 600, 700 degrees F, somewhere in that range.	Es wird bis zu etwa 300 Grad Celsius heiß .
So that's all water under the sea -- a mile and a half, two miles, three miles down.	Das ist also alles Wasser unter dem Meer – zwei , drei , vier Kilometer in der Tiefe .
And we knew it was volcanic back in the '60s, '70s.	Wir wussten bereits in den 60ern und 70ern , dass es vulkanisch ist .
And then we had some hint that these things existed all along the axis of it, because if you've got volcanism, water's going to get down from the sea into cracks in the sea floor, come in contact with magma, and come shooting out hot.	Damit hatten wir einen Hinweis , dass es diese Quellen entlang dieser Achse gibt , denn wenn es Vulkanismus gibt , dringt Wasser in die Spalten am Meeresboden , trifft auf Magma und tritt siedend heiß wieder aus .
We weren't really aware that it would be so rich with sulfides, hydrogen sulfides.	Uns war nicht bewusst , dass es so reich an Hydrogensulfiden ist .
We didn't have any idea about these things, which we call chimneys.	Wir hatten keine Ahnung von diesen Dingern , die wir Schornsteine nennen .
This is one of these hydrothermal vents.	Das ist eine dieser hydrothermalen Quellen .
Six hundred degree F water coming out of the Earth.	300 Grad heißes Wasser tritt aus der Erde .
On either side of us are mountain ranges that are higher than the Alps, so the setting here is very dramatic.	Auf beiden Seiten liegen Gebirgszüge , die höher als die Alpen sind , diese Gegend hier ist also sehr dramatisch .
The white material is a type of bacteria that thrives at 180 degrees C.	Das Weiße ist eine Bakterienart , die bei 180 Grad Celsius gedeiht .
I think that's one of the greatest stories right now that we're seeing from the bottom of the sea, is that the first thing we see coming out of the sea floor after a volcanic eruption is bacteria.	Ich finde , eine der größten Geschichten , die wir gerade auf dem Meeresgrund entdecken , ist , dass das Erste , das wir nach einem Vulkanausbruch am Meeresboden wieder finden , Bakterien sind .
And we started to wonder for a long time, how did it all get down there?	Lange haben wir uns gefragt: Wie sind die alle da unten hingekommen ?
What we find out now is that it's probably coming from inside the Earth.	Inzwischen haben wir herausgefunden , dass sie wahrscheinlich aus dem Erdinneren gekommen sind .
Not only is it coming out of the Earth -- so, biogenesis made from volcanic activity -- but that bacteria supports these colonies of life.	Sie kommen nicht nur aus der Erde – vom Vulkanismus angestoßene Biogenese – Bakterien unterstützen auch diese Kolonien des Lebens .
The pressure here is 4,000 pounds per square inch.	Der Druck beträgt hier 800 kg pro Quadratzentimeter .
A mile and a half from the surface to two miles to three miles -- no sun has ever gotten down here.	2 ,5 bis 3 oder 5 Kilometer unter der Oberfläche – kein Sonnenstrahl ist jemals bis hierher vorgedrungen .
All the energy to support these life forms is coming from inside the Earth -- so, chemosynthesis.	Die ganze Energie , die diese Lebewesen antreibt , kommt aus dem Erdinneren – Chemosynthese also .
And you can see how dense the population is.	Und Sie sehen , wie dicht das Leben hier ist .
These are called tube worms.	Das hier sind Röhrenwürmer .
But they have two types of gill structures.	Aber sie haben zwei Arten von Kiemenstrukturen .
One for extracting oxygen out of the deep-sea water, another one which houses this chemosynthetic bacteria, which takes the hydrothermal fluid -- that hot water that you saw coming out of the bottom -- and converts that into simple sugars that the tube worm can digest.	Eine für das Aufnehmen von Sauerstoff aus dem Meerwasser und die andere beherbergt diese chemosynthetischen Bakterien , die die hydrothermale Flüssigkeit – das heiße Wasser , das Sie aus dem Boden schießen sahen – in einfache Zucker verwandelt , die der Röhrenwurm verdauen kann .
You can see, here's a crab that lives down there.	Sie können sehen – hier ist eine Krabbe , die dort unten lebt .
He's managed to grab a tip of these worms.	Sie hat ein Stück dieser Würmer zu fassen gekriegt .
Now, they normally retract as soon as a crab touches them.	Normalerweise ziehen sie sich zurück , sobald eine Krabbe sie berührt .
So, as soon as a crab touches them, they retract down into their shells, just like your fingernails.	Sobald also die Krabbe sie berührt , ziehen sie sich in ihre Schalen zurück , so wie Fingernägel .
There's a whole story being played out here that we're just now beginning to have some idea of because of this new camera technology.	Da spielt sich eine ganz komplexe Geschichte ab , die wir gerade erst zu verstehen beginnen , dank der neuen Kameratechnologie .
These worms live in a real temperature extreme.	Diese Würmer leben in einem echten Temperatur-Extrem .
Their foot is at about 200 degrees C and their head is out at three degrees C, so it's like having your hand in boiling water and your foot in freezing water.	Ihre Füße sind etwa 200 Grad Celsius heiß und ihre Köpfe da draußen sind etwa drei Grad kalt , es ist also , als hätten Sie Ihre Hand im kochenden und Ihren Fuß in Eiswasser .
That's how they like to live.	So gefällt ihnen das Leben .
This is a female of this kind of worm.	Das ist ein Weibchen dieser Wurmart .
And here's a male.	Und das ist ein Männchen .
Everything you see is played out in the pitch black of the deep sea.	Alles , was Sie sehen , findet in der Finsternis der Tiefsee statt .
There are never any lights there, except the lights that we bring.	Es gibt hier keine Lichtquellen außer denen , die wir mitbringen .
Here they go.	Jetzt geht's los .
On one of the last dive series, we counted 200 species in these areas -- 198 were new, new species.	Auf einem der letzten Tauchgänge haben wir 200 Arten in diesen Bereichen gezählt . 198 waren neu – neue Arten .
One of the big problems is that for the biologists working at these sites, it's rather difficult to collect these animals.	Eines der größten Probleme der Biologen , die sich mit diesem Lebensraum befassen , ist das Sammeln dieser Tiere .
And they disintegrate on the way up, so the imagery is critical for the science.	Sie lösen sich auf dem Weg nach oben auf , die Bilder sind also sehr wichtig für die Wissenschaft .
Two octopods at about two miles depth.	Zwei Oktopusse in etwa drei Kilometern Tiefe .
This pressure thing really amazes me -- that these animals can exist there at a depth with pressure enough to crush the Titanic like an empty Pepsi can.	Diese Druckverhältnisse finde ich wirklich erstaunlich , dass diese Tiere in einer Tiefe existieren können , bei einem Druck , der groß genug ist , um die Titanic wie eine leere Coladose zu zerquetschen .
What we saw up till now was from the Pacific.	Was wir bisher gesehen haben , war aus dem Pazifik .
And the same thing's going on over here.	Gleichzeitig geschieht hier drüben etwas .
What they're getting at is that -- on the back of this crab -- the foodstuff here is this very strange bacteria that lives on the backs of all these animals.	Was sie hier auf dem Rücken der Krabbe suchen , ist Nahrung , ein sehr seltsames Bakterium , das auf den Rücken all dieser Tiere lebt .
And what these shrimp are trying to do is actually harvest the bacteria from the backs of these animals.	Und diese Garnelen versuchen , die Bakterien von den Rücken all dieser Tiere abzuernten .
And the crabs don't like it at all.	Den Krabben gefällt das gar nicht .
These long filaments that you see on the back of the crab are actually created by the product of that bacteria.	Diese langen Fäden auf dem Rücken der Krabbe bestehen aus Stoffen , die das Bakterium produziert .
So, the bacteria grows hair on the crab.	Die Bakterien sorgen also für Haarwuchs auf der Krabbe .
On the back, you see this again.	Im Hintergrund sieht man das wieder .
The red dot is the laser light of the submarine Alvin to give us an idea about how far away we are from the vents.	Der rote Punkt ist der Laserstrahl des U-Bootes Alvin , der uns zeigt , wie weit wir etwa von den Quellen entfernt sind .
Those are all shrimp.	Das sind alles Garnelen .
You see the hot water over here, here and here, coming out.	Man sieht heißes Wasser hier , hier , hier und hier austreten .
They're clinging to a rock face and actually scraping bacteria off that rock face.	Sie klammern sich an einen Fels und kratzen Bakterien von diesem Fels ab .
Here's a tiny, little vent that's come out of the side of that pillar.	Hier ist eine winzig kleine Quelle an der Seite dieser Säule .
Those pillars get up to several stories.	Diese Säulen sind mehrere Stockwerke hoch .
So here, you've got this valley with this incredible alien landscape of pillars and hot springs and volcanic eruptions and earthquakes, inhabited by these very strange animals that live only on chemical energy coming out of the ground.	Hier ist also ein Tal mit einer unglaublichen , fremdartigen Landschaft aus Säulen , heißen Quellen , Vulkanausbrüchen und Erdbeben , die von diesen sehr merkwürdigen Tieren bewohnt wird , die nur von der chemischen Energie aus dem Meeresboden leben .
They don't need the sun at all.	Sie brauchen die Sonne überhaupt nicht .
You see this white V-shaped mark on the back of the shrimp?	Sehen Sie diese v-förmige Stelle auf dem Rücken dieser Garnele ?
It's actually a light-sensing organ.	Es ist ein lichtempfindliches Organ .
It's how they find the hydrothermal vents.	Damit finden sie die hydrothermalen Quellen .
The vents are emitting a black body radiation -- an IR signature -- and so they're able to find these vents at considerable distances.	Die Quellen geben Wärmestrahlung ab – eine Infrarot-Signatur . So finden sie auch auf recht große Entfernung diese Quellen .
All this stuff is happening along that 40,000-mile long mountain range that we're calling the ribbon of life, because just even today, as we speak, there's life being generated there from volcanic activity.	Das alles spielt sich an dem 13 .000 Kilometer langen Gebirgszug ab , den wir das Lebensband nennen , denn noch heute , in diesem Augenblick , entsteht dort durch vulkanische Aktivität Leben .
This is the first time we've ever tried this any place.	Das ist das erste Mal , dass wir das je irgendwo ausprobiert haben .
We're going to try to show you high definition from the Pacific.	Wir werden versuchen , Ihnen den Pazifik in HD zu zeigen .
We're moving up one of these pillars.	Wir steigen an einer dieser Säulen auf .
This one's several stories tall.	Diese hier ist mehrere Stockwerke hoch .
In it, you'll see that it's a habitat for a lot of different animals.	Sie werden sehen , dass ihr Inneres den Lebensraum für viele verschiedene Tiere bildet .
There's a funny kind of hot plate here, with vent water coming out of it.	Hier ist eine lustige heiße Platte , an der heißes Wasser ausströmt .
So all of these are individual homes for worms.	Das alles sind einzelne Behausungen für Würmer .
Now here's a closer view of that community.	Hier ist man näher an dieser Gemeinschaft dran .
Here's crabs here, worms here.	Hier sind Krabben , hier Würmer .
There are smaller animals crawling around.	Kleinere Tiere kriechen herum .
Here's pagoda structures.	Hier sind Pagodenstrukturen .
I think this is the neatest-looking thing.	Ich finde das hier sieht am tollsten aus .
I just can't get over this -- that you've got these little chimneys sitting here smoking away.	Ich krieg mich nicht wieder ein – wie hier diese kleinen Schornsteine die Gegend vollqualmen .
This stuff is toxic as hell, by the way.	Übrigens ist das Zeug hochgiftig .
You could never get a permit to dump this in the ocean, and it's coming out all from it.	Man würde nie die Erlaubnis bekommen , das im Meer zu verklappen , und es kommt doch alles selbst aus dem Meer .
And animals are thriving -- and we probably came from here.	Und doch gedeihen die Tiere dort – und wir kommen wahrscheinlich ebenfalls von dort .
That's probably where we evolved from.	Wir haben uns vermutlich von dort aus entwickelt .
This bacteria that we've been talking about turns out to be the most simplest form of life found.	Dieses Bakterium , über das wir gesprochen haben , ist die einfachste uns bekannte Lebensform .
There are a number of groups that are proposing that life evolved at these vent sites.	Es gibt eine Reihe von Wissenschaftlern , die die These vertreten , dass das Leben an diesen Quellen entstanden sei .
Although the vent sites are short-lived -- an individual site may last only 10 years or so -- as an ecosystem they've been stable for millions -- well, billions -- of years.	Obwohl diese Quellen nicht lange bestehen – eine einzelne gibt es vielleicht nur zehn Jahre oder so – als Ökosystem sind sie seit Millionen , Milliarden von Jahren stabil .
There's a fish sitting here.	Da sitzt ein Fisch .
Here's a crab with his claw right at the end of that tube worm, waiting for that worm to stick his head out.	Hier ist eine Krabbe mit ihrer Schere genau am Ende dieses Röhrenwurms , die dartauf wartet , dass der Wurm seinen Kopf herausstreckt .
The biologists right now cannot explain why these animals are so active.	Die Biologen können noch nicht erklären , warum diese Tiere so aktiv sind .
The worms are growing inches per week!	Diese Würmer wachsen mehrere Zentimeter in der Woche !
I already said that this site, from a human perspective, is toxic as hell.	Ich sagte schon , dass diese Umgebung aus menschlicher Sicht toxisch wie die Hölle ist .
Not only that, but on top -- the lifeblood -- that plumbing system turns off every year or so.	Nicht nur das . Obendrein stellt sich die Lebensader – das Entwässerungssystem – ungefähr jedes Jahr einmal ab .
Their plumbing system turns off, so the sites have to move.	Das Wassersystem stellt den Betrieb ein , also muss die ganze Umgebung umziehen .
And then there's earthquakes, and then volcanic eruptions, on the order of one every five years, that completely wipes the area out.	Und dann gibt es Erdbeben und die Vulkanausbrüche etwa alle fünf Jahre , die das ganze Gebiet völlig zerstören .
Despite that, these animals grow back in about a year's time.	Nichtsdestotrotz sind die Tiere nach einem Jahr wieder da .
You're talking about biodensities and biodiversity, again, higher than the rainforest that just springs back to life.	Es ist eine Dichte und Vielfalt an Lebensformen , die höher ist als im Regenwald und die einfach so wieder auftaucht .
I'll end up with saying one thing.	Ich möchte zum Schluss noch eines sagen .
There's a story in the sea, in the waters of the sea, in the sediments and the rocks of the sea floor.	Es gibt eine Geschichte im Meer , im Meerwasser , in den Sedimenten und Felsen des Meeresbodens .
It's an incredible story.	Es ist eine unglaubliche Geschichte .
What we see when we look back in time, in those sediments and rocks, is a record of Earth history.	Was wir sehen , wenn wir in die Vergangenheit schauen in diesen Sedimenten und Felsen , ist eine Aufzeichnung der Erdgeschichte .
Everything on this planet -- everything -- works by cycles and rhythms.	Alles auf diesem Planeten – alles – funktioniert in Zyklen und Rhythmen .
What we're learning now, it's almost like a symphony.	Wir finden gerade heraus , dass es fast wie eine Sinfonie ist .
It's just like music -- it really is just like music.	Es ist genau wie Musik – es ist wirklich genau wie Musik .
So, what we've got to learn now is to find out where this planet's going at all these different scales and work with it.	Was wir also lernen müssen , ist herauszufinden , wohin unser Planet treibt , in all seinen verschiedenen Bereichen , und uns darauf einzustellen
Learn to manage it.	Damit umzugehen lernen .
The concept of preservation is futile.	Das Konzept der Bestandsbewahrung ist zwecklos .
Conservation's tougher, but we can probably get there.	Naturschutz ist schwieriger , aber das können wir wahrscheinlich schaffen .
Thank you very much.	Vielen Dank .
Thank you.	Danke .
I'm here today to start a revolution.	Ich bin heute hier , um eine Revolution zu starten .
Now before you get up in arms, or you break into song, or you pick a favorite color, I want to define what I mean by revolution.	Bevor Sie aber Ihr Gewehr justieren , oder anfangen zu singen , oder Ihre Lieblingsfarbe auswählen , will ich Revolution definieren .
By revolution, I mean a drastic and far-reaching change in the way we think and behave -- the way we think and the way we behave.	Revolution meiner Meinung nach ist ein radikaler und durchgreifender Wandel in Denken und Verhalten -- wie wir denken und wie wir uns verhalten .
Now why, Steve, why do we need a revolution?	Aber warum , Steve , brauchen wir eine Revolution ?
We need a revolution because things aren't working; they're just not working.	Wir brauchen eine Revolution , weil die Lage hier so schlecht ist . Sehr schlecht .
And that makes me really sad because I'm sick and tired of things not working.	Und das macht mich sehr traurig , weil ich die Nase voll von der schlechten Lage hier hab .
You know, I'm sick and tired of us not living up to our potential.	Ich hab die Nase voll davon , dass wir unser ganzes Potenzial nicht nutzen .
I'm sick and tired of us being last.	Ich hab die Nase voll , dass wir immer auf dem letzten Platz sind .
And we are last place in so many things -- for example, social factors.	Und wird sind auf dem letzten Platz in vielen Bereichen -- zum Beispiel , die soziale Bedingungen .
We're last place in Europe in innovation.	Wir sind auf dem letzten Platz in Europa im Bereich der Innovation .
There we are right at the end, right at the bottom, last place as a culture that doesn't value innovation.	Wir sind am Ende der Tabelle , Auf dem letzten Platz als die Kultur , die Innovation nicht schätzt .
We're last place in health care, and that's important for a sense of well-being.	Unser Gesundheitssystem ist auf dem letzten Platz , und das ist wichtig für das Wohlbefinden .
And there we are, not just last in the E.U., we're last in Europe, at the very bottom.	Da sind wir auf letztem Platz nicht nur in E .U . , aber auch im ganz Europa - auf dem letzten Platz .
And worst of all, it just came out three weeks ago, many of you have seen it, The Economist.	Das Schlechte ist aber , was das Magazin Economist vor drei Wochen berichtet hat , wie Sie vielleicht gelesen haben ,
We're the saddest place on Earth, relative to GDP per capita -- the saddest place on Earth.	wir sind die traurigste Nation der Welt , relativ zu BIP per Einwohner -- das traurigste Land der Welt .
Where do we rank three weeks ago in another report by the OECD?	Auf welchem Platz sind wir , vor drei Wochen nach einem anderen Bericht von OECD ?
Business: The lowest perception in the E.U.	Das Unternehmenbereich: Die niedrigste Auffassung in E .U .
that entrepreneurs provide benefits to society.	dass Unternehmer der Gesellschaft Vorteile verschaffen .
Why as a result, what happens?	Warum ist das so und was ist geschehen ?
The lowest percentage of entrepreneurs starting businesses.	Der niedrigste Prozentsatz von Unternehmern , die ein Geschäft starten .
And this is despite the fact that everybody knows that small business is the engine of economies.	Und das ist auch so wenn alle wissen , dass kleine Unternehmen den Motor der Wirtschaft sind .
We hire the most people; we create the most taxes.	Wir haben die meisten Angestellten , wir produzieren die meisten Gebühren .
So if our engine's broken, guess what?	Und wenn unser Motor kaputt ist , was sind die Folgen ?
Last in Europe GDP per capita.	Auf dem letzten Platz in Europa bezüglich BIP per Einwohner .
So it's no surprise, guys, that 62 percent of Bulgarians are not optimistic about the future.	Also ist es nicht überraschend , dass nur 62 Prozent der Bulgaren optimistisch für die Zukunft sind .
We're unhappy, we have bad education, and we have the worst businesses.	Wir sind traurig , wir haben schlechte Ausbildung , und wir haben die schwächsten Unternehmen .
And these are facts, guys.	Und das sind die Tatsachen .
This isn't story tale; it's not make-believe.	Das ist kein Märchen , ich phantasiere nicht .
It's not.	Gar nicht .
So I think it should be really, really clear that our system is broken.	So ich glaube es soll sehr klar zu sein , dass unser System kaputt ist .
The way we think, the way we behave, our operating system of behaving is broken.	So wie wir denken und uns verhalten , macht unser Verhaltenssystem kaputt .
We need a drastic change in the way we think and behave to transform Bulgaria for the better, for ourselves, for our friends, for our family and for our future.	Wir brauchen einen durchgreifenden Wandel in Denken und Verhalten um Bulgarien zum etwas Besseren zu verwandeln , für uns und für unsere Freunde , für unsere Familie und unsere Zukunft .
How did this happen?	Wie geschah das ?
I think we're last because -- and this is going to be drastic to some of you -- because we are handicapping ourselves.	Ich glaube wir sind auf dem letzten Platz , weil -- und das wird unangenehm für einige von euch -- weil wir uns selbst behindern .
We're holding ourselves back because we don't value play.	Wir behindern uns selbst , weil wir keine Lust zum Spielen haben .
I said "play," all right.	Ich habe Spielen gesagt .
In case some of you forgot what play is, this is what play looks like.	Falls jemand von Ihnen sich nicht erinnern kann , was Spielen ist , das ist Spielen .
Babies play, kids play, adults play.	Babies spielen , Kinder spielen , Erwachsene spielen .
We don't value play.	Wir schätzen Spielen nicht .
In fact, we devalue play.	Tatsächlich werten wir Spielen ab .
And we devalue it in three areas.	Und wir werten es in drei Bereiche ab .
Let's go back to the same three areas.	Gehen wir zurück zu diesen Bereichen in der Geschichte
Social: 45 years of what?	Sozial: 45 Jahre von was ?
